"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2020","8,939.10","9,141.17","9,145.93","8,423.56","-","2.25%"
"Mar 16, 2020","8,742.25","8,728.48","8,967.11","8,255.65","302.20M","-5.31%"
"Mar 13, 2020","9,232.08","9,480.78","9,985.74","9,064.68","325.90M","0.77%"
"Mar 12, 2020","9,161.13","9,863.99","9,932.56","9,139.12","390.48M","-12.24%"
"Mar 11, 2020","10,438.68","10,601.85","10,761.43","10,390.51","216.71M","-0.35%"
"Mar 10, 2020","10,475.49","10,724.98","11,032.29","10,423.90","267.40M","-1.41%"
"Mar 09, 2020","10,625.02","10,690.08","10,995.22","10,556.64","305.32M","-7.94%"
"Mar 06, 2020","11,541.87","11,694.56","11,769.85","11,447.20","195.04M","-3.37%"
"Mar 05, 2020","11,944.72","12,191.41","12,207.77","11,844.88","148.09M","-1.51%"
"Mar 04, 2020","12,127.69","11,992.59","12,199.82","11,929.24","147.85M","1.19%"
"Mar 03, 2020","11,985.39","12,013.06","12,272.99","11,906.82","195.94M","1.08%"
"Mar 02, 2020","11,857.87","12,030.27","12,121.60","11,624.63","207.21M","-0.27%"
"Feb 28, 2020","11,890.35","11,891.87","12,008.59","11,724.12","274.62M","-3.86%"
"Feb 27, 2020","12,367.46","12,526.60","12,593.62","12,211.63","191.24M","-3.19%"
"Feb 26, 2020","12,774.88","12,682.16","12,849.17","12,368.05","163.62M","-0.12%"
"Feb 25, 2020","12,790.49","13,132.04","13,132.04","12,778.66","129.55M","-1.88%"
"Feb 24, 2020","13,035.24","13,231.38","13,236.58","12,982.14","165.15M","-4.01%"
"Feb 21, 2020","13,579.33","13,609.94","13,689.23","13,500.50","108.77M","-0.62%"
"Feb 20, 2020","13,664.00","13,774.44","13,788.41","13,664.00","86.44M","-0.91%"
"Feb 19, 2020","13,789.00","13,751.05","13,789.00","13,710.78","90.19M","0.79%"
"Feb 18, 2020","13,681.19","13,668.94","13,731.39","13,660.45","82.09M","-0.75%"
"Feb 17, 2020","13,783.89","13,770.67","13,795.24","13,754.04","57.40M","0.29%"
"Feb 14, 2020","13,744.21","13,756.47","13,788.51","13,728.12","66.31M","-0.01%"
"Feb 13, 2020","13,745.43","13,695.93","13,745.43","13,576.96","92.09M","-0.03%"
"Feb 12, 2020","13,749.78","13,671.15","13,758.70","13,658.15","86.73M","0.89%"
"Feb 11, 2020","13,627.84","13,604.74","13,668.43","13,557.96","104.75M","0.99%"
"Feb 10, 2020","13,494.03","13,476.00","13,501.74","13,445.41","60.46M","-0.15%"
"Feb 07, 2020","13,513.81","13,530.77","13,551.03","13,463.98","87.04M","-0.45%"
"Feb 06, 2020","13,574.82","13,570.33","13,606.97","13,533.66","114.57M","0.72%"
"Feb 05, 2020","13,478.33","13,224.27","13,488.58","13,223.14","108.45M","1.48%"
"Feb 04, 2020","13,281.74","13,135.61","13,282.63","13,131.07","80.89M","1.81%"
"Feb 03, 2020","13,045.19","13,033.17","13,077.57","12,987.53","81.39M","0.49%"
"Jan 31, 2020","12,981.97","13,196.80","13,208.47","12,973.70","106.90M","-1.33%"
"Jan 30, 2020","13,157.12","13,186.49","13,262.18","13,118.97","100.71M","-1.41%"
"Jan 29, 2020","13,345.00","13,316.42","13,371.30","13,296.03","67.88M","0.16%"
"Jan 28, 2020","13,323.69","13,274.01","13,327.12","13,163.36","91.83M","0.90%"
"Jan 27, 2020","13,204.77","13,374.99","13,399.42","13,195.28","101.41M","-2.74%"
"Jan 24, 2020","13,576.68","13,512.84","13,604.85","13,510.79","87.99M","1.41%"
"Jan 23, 2020","13,388.42","13,455.90","13,486.14","13,382.23","90.75M","-0.94%"
"Jan 22, 2020","13,515.75","13,601.65","13,640.06","13,498.03","73.13M","-0.30%"
